,distinct_id,locationSetting,notificationSettings,active_timespan,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned,number_ratings,SQS,avg_session_duration,time_delta_slope,session_time_slope,time_delta_slope_90,session_time_slope_90
2211,5056A109-A055-4DD4-808C-3CEFDB83C127,1,0,0.2919328703703704,1,0,1,0,1,1,0.005555555555555557,0,1,0,0,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2212,505D329E-745B-4C68-A3DD-B7290295D2EE,1,1,0.3382638888888889,0,0,1,0,1,10,0.05555555555555555,0,0,0,1,0,0,0,0.0,1,0.0,2.0,426.0,0.0,0.0,0.0,0.0
2213,5061de23-1885-4ab4-a5bd-788b553291a0,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2214,5064CFE2-F3AC-469D-B46A-E013181B4F50,1,0,0.2919328703703704,1,0,1,0,1,1,0.005555555555555557,1,0,0,0,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2215,506B5564-F157-46E0-9240-787B1DDDE0E6,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2216,506D4EAD-F806-4D56-8BF9-9C540A1C0887,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2217,5071F528-08B7-4B47-9A29-74239A95C06B,1,1,0.2934953703703704,1,0,1,0,1,11,0.06111111111111111,0,0,1,0,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2218,507D59C2-637C-40D4-9343-876CA55A396B,1,0,0.3348611111111111,1,0,1,0,1,17,0.09444444444444444,1,0,0,0,0,0,0,0.0,1,0.0,27.5,45.2,0.0,8.0,0.0,0.0
2219,508CD9BF-2E49-4DA1-9C15-C43238DF81D0,1,1,152.0752199074074,2,0,1,0,1,4,0.022222222222222227,1,0,0,0,0,0,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2220,50A0640B-4E12-46FD-951F-DC6394F1FDF6,1,0,87.93414351851852,1,0,1,0,1,3,0.016666666666666666,0,1,0,0,0,0,0,0.0,1,0.0,3.0,23.6,0.0,0.0,0.0,0.0
2221,50D963EE-EA8A-4E2F-B97A-A1F9782FBD4C,1,1,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2222,50DAD4C5-45C1-44E7-9C39-9A2C805350D4,1,1,148.57810185185184,1,0,1,0,1,15,0.08333333333333333,0,1,0,0,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2223,50DE1D8A-23FF-4050-A2E0-14E16305C7D6,1,0,69.39805555555556,1,1,0,0,1,23,0.12777777777777774,1,0,0,0,0,0,0,0.0,1,0.0,22.0,70.45,0.0,37.5,0.0,37.5
2224,50DF2E89-C3A3-4807-817C-D247F2B02FD0,1,1,0.3368865740740741,0,0,1,0,1,23,0.12777777777777774,0,0,0,1,0,0,0,0.0,1,0.0,91.0,245.0,0.0,0.0,0.0,0.0
2225,50E094F4-591E-4C9E-93DC-D698E3397ECB,1,0,8.381134259259259,1,0,0,1,1,40,0.2222222222222222,1,0,0,0,0,0,0,0.0,0,0.0,18.285714285714285,27.02857142857143,-32902.0,-7.135714285714288,-32902.0,-7.135714285714288
2226,50FE87B9-C049-46D1-AE38-39CB9DA0B818,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2227,50a5e722-4f1f-473f-a888-75bbb36dd85f,1,0,0.0007175925925925926,1,0,1,0,0,2,0.011111111111111113,0,0,0,0,0,1,0,0.0,1,0.0,2.0,61.8,0.0,0.0,0.0,0.0
2228,50e9adab34f13549,1,0,0.5833333333333334,0,0,1,0,1,1,0.005555555555555557,0,0,0,1,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2229,5107AB51-93D1-4598-A70E-9615F8C7E02A,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2230,51101C9B-697F-4A12-ABCD-91652803FD61,1,1,0.2916666666666667,1,0,1,0,1,1,0.005555555555555557,1,0,0,0,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2231,5111F6EB-A679-447C-84D3-29888A420E70,1,0,129.91197916666667,1,0,1,0,1,2,0.011111111111111113,0,1,0,0,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2232,512EC54B-CCAA-4CEE-AD1C-3222E3EE4912,1,0,43.45041666666667,1,1,0,0,1,33,0.18333333333333326,1,0,0,0,0,0,0,0.0,0,0.0,12.833333333333334,61.9,541790.1000000001,1.9771428571428524,0.0,0.0
2233,5130B864-F645-4A14-A71B-464F7C48D9D8,1,0,0.3333333333333333,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
