,distinct_id,locationSetting,notificationSettings,active_timespan,average_session_time,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned
107623,02BDBE0D-8CC2-4F2C-BACE-DC411A36CC4D,1,1,0.2916666666666667,,0,0,1,0,1,2,0.011111111111111112,0,0,0,1,0,0,0,0.0,1
69043,02C87361-6668-4B07-8148-D125C798FB71,1,0,0.2916666666666667,,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1
98850,02CF118D-4487-41FD-96E0-6DB82B5082C7,1,0,0.3434837962962963,211.5,1,0,1,0,1,24,0.13333333333333333,0,0,1,0,0,0,0,0.0,1
189548,02FEB9BE-3085-4AA2-A0F3-80FC69B3F910,1,0,0.29336805555555556,49.0,1,0,1,0,1,11,0.06111111111111111,1,0,0,0,0,0,0,0.0,1
106380,02d82519-a23a-437e-a35d-6c6a61d6bff1,1,0,0.0010532407407407407,,0,0,1,0,0,2,0.011111111111111112,0,0,0,0,0,1,0,0.0,1
85357,02ea4fa1-5d29-4bcf-92b9-8988ab8a1b99,1,1,0.0,,0,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
59903,030284D5-1947-4722-BA1D-263A2B32E001,1,1,1.1657523148148148,20.33333333333333,1,0,1,0,1,8,0.044444444444444446,1,0,0,0,0,0,0,0.0,1
33058,030E7575-C237-42E7-8DE5-4EDB44A7B68B,1,0,82.44648148148148,12.5,1,0,1,0,1,10,0.05555555555555555,1,0,0,0,0,0,0,0.0,1
102695,0318CE0E-4BDD-4DE2-97F4-B9243AE01130,1,0,15.032905092592593,67.16666666666667,1,1,0,0,1,40,0.2222222222222222,0,0,1,0,0,0,0,0.0,0
71961,0319E7CF-6D96-496A-8F42-C1D2B25F0C81,1,0,24.80002314814815,101.66666666666669,1,0,1,0,1,5,0.027777777777777776,0,0,1,0,0,0,0,0.0,1
60956,031BB91E-97BE-4C90-A6D7-89599B29EE06,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
187836,0324849D-5A06-45E7-B095-6959EAD82D55,1,0,24.252962962962965,47.25,1,1,0,0,1,21,0.11666666666666667,1,0,0,0,0,0,0,0.0,1
68231,03388eee-3fdc-420a-ae41-388a6726ce84,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
74279,034BA07A-651E-4214-B44A-858F93743C7C,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
105383,03630308-081F-4C11-9189-12FA96617C98,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
83505,0366C629-9D8C-44AA-8DE8-7176715445CB,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
43864,0370A1F6-7F64-4DA9-8ED8-5A509A5781A1,1,0,100.50226851851852,20.0,1,1,0,0,1,25,0.1388888888888889,1,0,0,0,0,0,0,0.0,1
69055,037A17A6-06E4-4A4A-A840-DCB6BF03F489,1,1,80.78880787037038,71.5,1,0,1,0,1,28,0.15555555555555556,1,0,0,0,0,0,0,0.0,0
